key,oid_freebase,oid_name,objects365_name,coco_name
_fishing rod_,,,fishing rod,
_cherry_,,,cherry,
_green vegetables_,,,green vegetables,
_nuts_,,,nuts,
_corn_,,,corn,
_key_,,,key,
_screwdriver_,,,screwdriver,
_globe_,,,globe,
_broom_,,,broom,
_pliers_,,,pliers,
_hammer_,,,hammer,
_eggplant_,,,eggplant,
_trophy_,,,trophy,
_dates_,,,dates,
_board eraser_,,,board eraser,
_rice_,,,rice,
_tape measure/ruler_,,,tape measure/ruler,
_hamimelon_,,,hamimelon,
_stapler_,,,stapler,
_lettuce_,,,lettuce,
_meat balls_,,,meat balls,
_medal_,,,medal,
_toothpaste_,,,toothpaste,
_trombone_,,,trombone,
_pomegranate_,,,pomegranate,
_mushroom_,,,mushroom,
_calculator_,,,calculator,
_egg tart_,,,egg tart,
_cheese_,,,cheese,
_pomelo_,,,pomelo,
_race car_,,,race car,
_rice cooker_,,,rice cooker,
_tuba_,,,tuba,
_crosswalk sign_,,,crosswalk sign,
_papaya_,,,papaya,
_chips_,,,chips,
_urinal_,,,urinal,
_donkey_,,,donkey,
_electric drill_,,,electric drill,
_measuring cup_,,,measuring cup,
_steak_,,,steak,
_poker card_,,,poker card,
_radish_,,,radish,
_yak_,,,yak,
_mop_,,,mop,
_microscope_,,,microscope,
_barbell_,,,barbell,
_bread/bun_,,,bread/bun,
_baozi_,,,baozi,
_red cabbage_,,,red cabbage,
_lighter_,,,lighter,
_mangosteen_,,,mangosteen,
_comb_,,,comb,
_eraser_,,,eraser,
_pitaya_,,,pitaya,
_scallop_,,,scallop,
_pencil case_,,,pencil case,
_saw_,,,saw,
_okra_,,,okra,
_durian_,,,durian,
_game board_,,,game board,
_french horn_,,,french horn,
_asparagus_,,,asparagus,
_pasta_,,,pasta,
_target_,,,target,
_hotair balloon_,,,hotair balloon,
_chainsaw_,,,chainsaw,
_lobster_,,,lobster,
_iron_,,,iron,
_flashlight_,,,flashlight,
__parking meter,,,,parking meter
__kite,,,,kite
__bowl,,,,bowl
__oven,,,,oven
__book,,,,book
__hair drier,,,,hair drier
Rose__,/m/06m11,Rose,,
Flashlight__,/m/01kb5b,Flashlight,,
Sea turtle__,/m/0120dh,Sea turtle,,
Animal__,/m/0jbk,Animal,,
Glove__,/m/0174n1,Glove,,
Crocodile__,/m/09f_2,Crocodile,,
House__,/m/03jm5,House,,
Guacamole__,/m/02g30s,Guacamole,,
Vehicle registration plate__,/m/01jfm_,Vehicle registration plate,,
Bench1__,/m/076lb9,Bench1,,
Ladybug__,/m/0gj37,Ladybug,,
Human nose__,/m/0k0pj,Human nose,,
Watermelon__,/m/0kpqd,Watermelon,,
Taco__,/m/07crc,Taco,,
Cake__,/m/0fszt,Cake,,
Cannon__,/m/020kz,Cannon,,
Tree__,/m/07j7r,Tree,,
Bed__,/m/03ssj5,Bed,,
Hamster__,/m/03qrc,Hamster,,
Hat__,/m/02dl1y,Hat,,
Sombrero__,/m/02jfl0,Sombrero,,
Tiara__,/m/01krhy,Tiara,,
Dragonfly__,/m/0ft9s,Dragonfly,,
Moths and butterflies__,/m/0d_2m,Moths and butterflies,,
Vegetable__,/m/0f4s2w,Vegetable,,
Torch__,/m/07dd4,Torch,,
Building__,/m/0cgh4,Building,,
Power plugs and sockets__,/m/03bbps,Power plugs and sockets,,
Blender__,/m/02pjr4,Blender,,
Billiard table__,/m/04p0qw,Billiard table,,
Bronze sculpture__,/m/01yx86,Bronze sculpture,,
Turtle__,/m/09dzg,Turtle,,
Tiger__,/m/07dm6,Tiger,,
Mirror__,/m/054_l,Mirror,,
Zucchini__,/m/027pcv,Zucchini,,
Dress__,/m/01d40f,Dress,,
Reptile__,/m/06bt6,Reptile,,
Golf cart__,/m/0323sq,Golf cart,,
Tart__,/m/02zvsm,Tart,,
Fedora__,/m/02fq_6,Fedora,,
Carnivore__,/m/01lrl,Carnivore,,
Lighthouse__,/m/04h7h,Lighthouse,,
Food processor__,/m/03y6mg,Food processor,,
Bookcase__,/m/03__z0,Bookcase,,
Necklace__,/m/01llwg,Necklace,,
Flower__,/m/0c9ph5,Flower,,
Radish__,/m/015x5n,Radish,,
Marine mammal__,/m/0gd2v,Marine mammal,,
Frying pan__,/m/04v6l4,Frying pan,,
Knife__,/m/04ctx,Knife,,
Christmas tree__,/m/025nd,Christmas tree,,
Eagle__,/m/09csl,Eagle,,
Limousine__,/m/01lcw4,Limousine,,
Kitchen & dining room table__,/m/0h8n5zk,Kitchen & dining room table,,
Tower__,/m/01fdzj,Tower,,
Willow__,/m/0mw_6,Willow,,
Human head__,/m/04hgtk,Human head,,
Dessert__,/m/0270h,Dessert,,
Bee__,/m/01h3n,Bee,,
Wood-burning stove__,/m/04169hn,Wood-burning stove,,
Flowerpot__,/m/0fm3zh,Flowerpot,,
Beaker__,/m/0d20w4,Beaker,,
Oyster__,/m/0_cp5,Oyster,,
Woodpecker__,/m/01dy8n,Woodpecker,,
Harp__,/m/03m5k,Harp,,
Bathtub__,/m/03dnzn,Bathtub,,
Wall clock__,/m/0h8mzrc,Wall clock,,
Sports uniform__,/m/0h8mhzd,Sports uniform,,
Rhinoceros__,/m/03d443,Rhinoceros,,
Beehive__,/m/01gllr,Beehive,,
Cupboard__,/m/0642b4,Cupboard,,
Chicken__,/m/09b5t,Chicken,,
Man__,/m/04yx4,Man,,
Blue jay__,/m/01f8m5,Blue jay,,
Fireplace__,/m/03tw93,Fireplace,,
Missile__,/m/04ylt,Missile,,
Squirrel__,/m/071qp,Squirrel,,
Coat__,/m/01xygc,Coat,,
Punching bag__,/m/0420v5,Punching bag,,
Billboard__,/m/01knjb,Billboard,,
Door handle__,/m/03c7gz,Door handle,,
Mechanical fan__,/m/02x984l,Mechanical fan,,
Ring binder__,/m/04zwwv,Ring binder,,
Sock__,/m/01nq26,Sock,,
Weapon__,/m/083kb,Weapon,,
Shotgun__,/m/06nrc,Shotgun,,
Glasses__,/m/0jyfg,Glasses,,
Seahorse__,/m/0nybt,Seahorse,,
Belt__,/m/0176mf,Belt,,
Window__,/m/0d4v4,Window,,
Tire__,/m/0h9mv,Tire,,
Vehicle__,/m/07yv9,Vehicle,,
Canoe__,/m/0ph39,Canoe,,
Shelf__,/m/0gjbg72,Shelf,,
Human leg__,/m/035r7c,Human leg,,
Slow cooker__,/m/02tsc9,Slow cooker,,
Croissant__,/m/015wgc,Croissant,,
Pancake__,/m/01dwwc,Pancake,,
Coin__,/m/0242l,Coin,,
Stretcher__,/m/02lbcq,Stretcher,,
Woman__,/m/03bt1vf,Woman,,
Stairs__,/m/01lynh,Stairs,,
Harpsichord__,/m/03q5t,Harpsichord,,
Human mouth__,/m/0283dt1,Human mouth,,
Juice__,/m/01z1kdw,Juice,,
Skull__,/m/016m2d,Skull,,
Door__,/m/02dgv,Door,,
Violin__,/m/07y_7,Violin,,
Digital clock__,/m/06_72j,Digital clock,,
Sunflower__,/m/0ftb8,Sunflower,,
Leopard__,/m/0c29q,Leopard,,
Bell pepper__,/m/0jg57,Bell pepper,,
Harbor seal__,/m/02l8p9,Harbor seal,,
Snake__,/m/078jl,Snake,,
Sewing machine__,/m/0llzx,Sewing machine,,
Goose__,/m/0dbvp,Goose,,
Seat belt__,/m/0dkzw,Seat belt,,
Coffee cup__,/m/02p5f1q,Coffee cup,,
Microwave oven__,/m/0fx9l,Microwave oven,,
Countertop__,/m/0b3fp9,Countertop,,
Serving tray__,/m/0h8n27j,Serving tray,,
Dog bed__,/m/0h8n6f9,Dog bed,,
Beer__,/m/01599,Beer,,
Sunglasses__,/m/017ftj,Sunglasses,,
Waffle__,/m/01dwsz,Waffle,,
Palm tree__,/m/0cdl1,Palm tree,,
Trumpet__,/m/07gql,Trumpet,,
Ruler__,/m/0hdln,Ruler,,
Office building__,/m/021sj1,Office building,,
Pomegranate__,/m/0jwn_,Pomegranate,,
Skirt__,/m/02wv6h6,Skirt,,
Raven__,/m/06j2d,Raven,,
Goat__,/m/03fwl,Goat,,
Kitchen knife__,/m/058qzx,Kitchen knife,,
Salt and pepper shakers__,/m/02x8cch,Salt and pepper shakers,,
Lynx__,/m/04g2r,Lynx,,
Boot__,/m/01b638,Boot,,
Platter__,/m/099ssp,Platter,,
Swimwear__,/m/01gkx_,Swimwear,,
Swimming pool__,/m/0b_rs,Swimming pool,,
Drinking straw__,/m/03v5tg,Drinking straw,,
Wrench__,/m/01j5ks,Wrench,,
Ant__,/m/0_k2,Ant,,
Human ear__,/m/039xj_,Human ear,,
Headphones__,/m/01b7fy,Headphones,,
Fountain__,/m/0220r2,Fountain,,
Bird__,/m/015p6,Bird,,
Jeans__,/m/0fly7,Jeans,,
Television__,/m/07c52,Television,,
Crab__,/m/0n28_,Crab,,
Home appliance__,/m/019dx1,Home appliance,,
Snowplow__,/m/04vv5k,Snowplow,,
Beetle__,/m/020jm,Beetle,,
Artichoke__,/m/047v4b,Artichoke,,
Jet ski__,/m/01xs3r,Jet ski,,
Stationary bicycle__,/m/03kt2w,Stationary bicycle,,
Human hair__,/m/03q69,Human hair,,
Brown bear__,/m/01dxs,Brown bear,,
Lobster__,/m/0cjq5,Lobster,,
Drink__,/m/0271t,Drink,,
Saucer__,/m/03q5c7,Saucer,,
Insect__,/m/03vt0,Insect,,
Castle__,/m/0d5gx,Castle,,
Jaguar__,/m/0449p,Jaguar,,
Musical instrument__,/m/04szw,Musical instrument,,
Taxi__,/m/0pg52,Taxi,,
Pitcher__,/m/054fyh,Pitcher,,
Invertebrate__,/m/03xxp,Invertebrate,,
High heels__,/m/06k2mb,High heels,,
Bust__,/m/04yqq2,Bust,,
Scarf__,/m/02h19r,Scarf,,
Barrel__,/m/02zn6n,Barrel,,
Pumpkin__,/m/05zsy,Pumpkin,,
Frog__,/m/09ld4,Frog,,
Human face__,/m/0dzct,Human face,,
Van__,/m/0h2r6,Van,,
Swim cap__,/m/04tn4x,Swim cap,,
Ostrich__,/m/05n4y,Ostrich,,
Handgun__,/m/0gxl3,Handgun,,
Lizard__,/m/04m9y,Lizard,,
Snowmobile__,/m/01x3jk,Snowmobile,,
Light bulb__,/m/0h8l4fh,Light bulb,,
Window blind__,/m/031b6r,Window blind,,
Muffin__,/m/01tcjp,Muffin,,
Pretzel__,/m/01f91_,Pretzel,,
Horn__,/m/0319l,Horn,,
Furniture__,/m/0c_jw,Furniture,,
Fox__,/m/0306r,Fox,,
Convenience store__,/m/0crjs,Convenience store,,
Fruit__,/m/02xwb,Fruit,,
Earrings__,/m/01r546,Earrings,,
Curtain__,/m/03rszm,Curtain,,
Sofa bed__,/m/03m3pdh,Sofa bed,,
Luggage and bags__,/m/0hf58v5,Luggage and bags,,
Desk__,/m/01y9k5,Desk,,
Crutch__,/m/05441v,Crutch,,
Bicycle helmet__,/m/03p3bw,Bicycle helmet,,
Tick__,/m/0175cv,Tick,,
Canary__,/m/0ccs93,Canary,,
Watch__,/m/0gjkl,Watch,,
Lily__,/m/0jqgx,Lily,,
Kitchen appliance__,/m/0h99cwc,Kitchen appliance,,
Filing cabinet__,/m/047j0r,Filing cabinet,,
Aircraft__,/m/0k5j,Aircraft,,
Cake stand__,/m/0h8n6ft,Cake stand,,
Candy__,/m/0gm28,Candy,,
Mouse1__,/m/04rmv,Mouse1,,
Wine__,/m/081qc,Wine,,
Drawer__,/m/0fqfqc,Drawer,,
Picnic basket__,/m/07kng9,Picnic basket,,
Dice__,/m/029b3,Dice,,
Football helmet__,/m/07qxg_,Football helmet,,
Shorts__,/m/01bfm9,Shorts,,
Gondola__,/m/02068x,Gondola,,
Honeycomb__,/m/0fz0h,Honeycomb,,
Chest of drawers__,/m/05kyg_,Chest of drawers,,
Land vehicle__,/m/01prls,Land vehicle,,
Bat__,/m/01h44,Bat,,
Dagger__,/m/02gzp,Dagger,,
Tableware__,/m/04brg2,Tableware,,
Human foot__,/m/031n1,Human foot,,
Mug__,/m/02jvh9,Mug,,
Alarm clock__,/m/046dlr,Alarm clock,,
Pressure cooker__,/m/0h8ntjv,Pressure cooker,,
Human hand__,/m/0k65p,Human hand,,
Sword__,/m/06y5r,Sword,,
Miniskirt__,/m/01cmb2,Miniskirt,,
Traffic sign__,/m/01mqdt,Traffic sign,,
Girl__,/m/05r655,Girl,,
Dinosaur__,/m/029tx,Dinosaur,,
Porch__,/m/04m6gz,Porch,,
Human beard__,/m/015h_t,Human beard,,
Submarine sandwich__,/m/06pcq,Submarine sandwich,,
Screwdriver__,/m/01bms0,Screwdriver,,
Seafood__,/m/06nwz,Seafood,,
Racket__,/m/0dv9c,Racket,,
Wheel__,/m/083wq,Wheel,,
Toy__,/m/0138tl,Toy,,
Tea__,/m/07clx,Tea,,
Waste container__,/m/0bjyj5,Waste container,,
Mule__,/m/0dbzx,Mule,,
Pineapple__,/m/0fp6w,Pineapple,,
Coffee table__,/m/078n6m,Coffee table,,
Snowman__,/m/0152hh,Snowman,,
Lavender__,/m/04gth,Lavender,,
Maple__,/m/0cffdh,Maple,,
Cowboy hat__,/m/025rp__,Cowboy hat,,
Goggles__,/m/02_n6y,Goggles,,
Caterpillar__,/m/0cydv,Caterpillar,,
Poster__,/m/01n5jq,Poster,,
Rocket__,/m/09rvcxw,Rocket,,
Organ__,/m/013y1f,Organ,,
Cocktail__,/m/024g6,Cocktail,,
Plastic bag__,/m/05gqfk,Plastic bag,,
Mushroom__,/m/052sf,Mushroom,,
Light switch__,/m/03jbxj,Light switch,,
Parachute__,/m/0cyfs,Parachute,,
Winter melon__,/m/02cvgx,Winter melon,,
Plumbing fixture__,/m/02pkr5,Plumbing fixture,,
Scoreboard__,/m/057p5t,Scoreboard,,
Envelope__,/m/0frqm,Envelope,,
Bow and arrow__,/m/01g3x7,Bow and arrow,,
Telephone__,/m/07cx4,Telephone,,
Jacket__,/m/032b3c,Jacket,,
Boy__,/m/01bl7v,Boy,,
Otter__,/m/0cn6p,Otter,,
Office supplies__,/m/02rdsp,Office supplies,,
Couch__,/m/02crq1,Couch,,
Bull__,/m/0cnyhnx,Bull,,
Whale__,/m/084zz,Whale,,
Shirt__,/m/01n4qj,Shirt,,
Tank__,/m/07cmd,Tank,,
Accordion__,/m/0mkg,Accordion,,
Owl__,/m/09d5_,Owl,,
Porcupine__,/m/0c568,Porcupine,,
Sun hat__,/m/02wbtzl,Sun hat,,
Nail__,/m/05bm6,Nail,,
Lamp__,/m/0dtln,Lamp,,
Crown__,/m/0nl46,Crown,,
Piano__,/m/05r5c,Piano,,
Sculpture__,/m/06msq,Sculpture,,
Cheetah__,/m/0cd4d,Cheetah,,
Oboe__,/m/05kms,Oboe,,
Tin can__,/m/02jnhm,Tin can,,
Mango__,/m/0fldg,Mango,,
Tripod__,/m/073bxn,Tripod,,
Oven__,/m/029bxz,Oven,,
Coffee__,/m/02vqfm,Coffee,,
Common fig__,/m/043nyj,Common fig,,
Salad__,/m/0grw1,Salad,,
Marine invertebrates__,/m/03hl4l9,Marine invertebrates,,
Kangaroo__,/m/04c0y,Kangaroo,,
Human arm__,/m/0dzf4,Human arm,,
Measuring cup__,/m/07v9_z,Measuring cup,,
Snail__,/m/0f9_l,Snail,,
Suit__,/m/01xyhv,Suit,,
Teapot__,/m/01fh4r,Teapot,,
Bottle__,/m/04dr76w,Bottle,,
Trousers__,/m/07mhn,Trousers,,
Popcorn__,/m/01hrv5,Popcorn,,
Centipede__,/m/019h78,Centipede,,
Spider__,/m/09kmb,Spider,,
Sparrow__,/m/0h23m,Sparrow,,
Plate__,/m/050gv4,Plate,,
Bagel__,/m/01fb_0,Bagel,,
Personal care__,/m/02w3_ws,Personal care,,
Brassiere__,/m/01gmv2,Brassiere,,
Bathroom cabinet__,/m/04y4h8h,Bathroom cabinet,,
studio couch__,/m/026qbn5,studio couch,,
Cabinetry__,/m/01s105,Cabinetry,,
Towel__,/m/0162_1,Towel,,
Nightstand__,/m/02z51p,Nightstand,,
Jug__,/m/08hvt4,Jug,,
Wok__,/m/084rd,Wok,,
Human eye__,/m/014sv8,Human eye,,
Skyscraper__,/m/079cl,Skyscraper,,
Potato__,/m/05vtc,Potato,,
Paper towel__,/m/02w3r3,Paper towel,,
Lifejacket__,/m/054xkw,Lifejacket,,
Bicycle wheel__,/m/01bqk0,Bicycle wheel,,
Toilet__,/m/09g1w,Toilet,,