key,OID_id,OID_name,obj365_boxable_name,coco_boxable_name
oyster,/m/0_cp5,Oyster,,
ant,/m/0_k2,Ant,,
chopstick,/m/01_5g,Chopsticks,Chopsticks,
tortoise,/m/011k07,Tortoise,,
sea_turtle,/m/0120dh,Sea turtle,,
american_football,/m/01226z,Football,American Football,
ambulance,/m/012n7d,Ambulance,Ambulance,
ladder,/m/012w5l,Ladder,Ladder,
sink,/m/0130jx,Sink,Sink,sink
toy,/m/0138tl,Toy,,
organ,/m/013y1f,Organ,,
apple,/m/014j1m,Apple,Apple,apple
eye,/m/014sv8,Human eye,,
paddle,/m/014y4n,Paddle,Paddle,
snowman,/m/0152hh,Snowman,,
beer,/m/01599,Beer,,
beard,/m/015h_t,Human beard,,
Bird,/m/015p6,Bird,,bird
traffic_light,/m/015qff,Traffic light,Traffic Light,traffic light
croissant,/m/015wgc,Croissant,,
cucumber,/m/015x4r,Cucumber,Cucumber,
radish,/m/015x5n,Radish,Radish,
towel,/m/0162_1,Towel,towel/napkin,
doll,/m/0167gd,Doll,,
skull,/m/016m2d,Skull,,
washing_machine,/m/0174k2,Washing machine,washing machine,
glove,/m/0174n1,Glove,glove,
tick,/m/0175cv,Tick,,
belt,/m/0176mf,Belt,Belt,
sunglasses,/m/017ftj,Sunglasses,,
cart,/m/018p4k,Cart,,
ball,/m/018xm,Ball,,sports ball
backpack,/m/01940j,Backpack,Backpack,backpack
bicycle,/m/0199g,Bicycle,Bicycle,bicycle
home_appliance,/m/019dx1,Home appliance,,
centipede,/m/019h78,Centipede,,
boat,/m/019jd,Boat,Boat,boat
surfboard,/m/019w40,Surfboard,Surfboard,surfboard
boot,/m/01b638,Boot,Boots,
headphone,/m/01b7fy,Headphones,Head Phone,
hot_dog,/m/01b9xk,Hot dog,Hot dog,hot dog
shorts,/m/01bfm9,Shorts,,
bus,/m/01bjv,Bus,Bus,bus
boy,/m/01bl7v,Boy,,
screwdriver,/m/01bms0,Screwdriver,Screwdriver,
bicycle_wheel,/m/01bqk0,Bicycle wheel,,
barge,/m/01btn,Barge,,
laptop,/m/01c648,Laptop,Laptop,laptop
miniskirt,/m/01cmb2,Miniskirt,,
dress,/m/01d40f,Dress,,
bear,/m/01dws,Bear,Bear,bear
waffle,/m/01dwsz,Waffle,,
pancake,/m/01dwwc,Pancake,,
brown_bear,/m/01dxs,Brown bear,,
woodpecker,/m/01dy8n,Woodpecker,,
blue_jay,/m/01f8m5,Blue jay,,
pretzel,/m/01f91_,Pretzel,,
bagel,/m/01fb_0,Bagel,,
tower,/m/01fdzj,Tower,,
teapot,/m/01fh4r,Teapot,Tea pot,
person,/m/01g317,Person,Person,person
bow_and_arrow,/m/01g3x7,Bow and arrow,,
swimwear,/m/01gkx_,Swimwear,,
beehive,/m/01gllr,Beehive,,
brassiere,/m/01gmv2,Brassiere,,
bee,/m/01h3n,Bee,,
bat,/m/01h44,Bat,,
starfish,/m/01h8tj,Starfish,starfish,
popcorn,/m/01hrv5,Popcorn,,
burrito,/m/01j3zr,Burrito,,
balloon,/m/01j51,Balloon,,
wrench,/m/01j5ks,Wrench,,
tent,/m/01j61q,Tent,Tent,
license_plate,/m/01jfm_,Vehicle registration plate,,
lantern,/m/01jfsr,Lantern,Lantern,
toaster,/m/01k6s3,Toaster,Toaster,toaster
flashlight,/m/01kb5b,Flashlight,,
billboard,/m/01knjb,Billboard,,
tiara,/m/01krhy,Tiara,,
limousine,/m/01lcw4,Limousine,,
necklace,/m/01llwg,Necklace,Necklace,
carnivore,/m/01lrl,Carnivore,,
scissors,/m/01lsmm,Scissors,Scissors,scissors
stairs,/m/01lynh,Stairs,,
computer_keyboard,/m/01m2v,Computer keyboard,Keyboard,keyboard
printer,/m/01m4t,Printer,Printer,
traffic_sign,/m/01mqdt,Traffic sign,Traffic Sign,
chair,/m/01mzpv,Chair,Chair,chair
shirt,/m/01n4qj,Shirt,,
poster,/m/01n5jq,Poster,,
sock,/m/01nq26,Sock,,
fire_hydrant,/m/01pns0,Fire hydrant,Fire Hydrant,fire hydrant
land_vehicle,/m/01prls,Land vehicle,,
earring,/m/01r546,Earrings,,
tie,/m/01rkbr,Tie,Tie,tie
watercraft,/m/01rzcn,Watercraft,,
cabinetry,/m/01s105,Cabinetry,Cabinet/shelf,
suitcase,/m/01s55n,Suitcase,,suitcase
muffin,/m/01tcjp,Muffin,,
bidet,/m/01vbnl,Bidet,,
camel,/m/01x_v,Camel,camel,
snowmobile,/m/01x3jk,Snowmobile,,
clock,/m/01x3z,Clock,Clock,clock
cattle,/m/01xq0k1,Cattle,,
cello,/m/01xqw,Cello,Cello,
jet_ski,/m/01xs3r,Jet ski,,
coat,/m/01xygc,Coat,,
suit,/m/01xyhv,Suit,,
desk,/m/01y9k5,Desk,Desk,
cat,/m/01yrx,Cat,Cat,cat
bronze_sculpture,/m/01yx86,Bronze sculpture,,
juice,/m/01z1kdw,Juice,,
goggles,/m/02_n6y,Goggles,,
gondola,/m/02068x,Gondola,,
beetle,/m/020jm,Beetle,,
cannon,/m/020kz,Cannon,,
computer_mouse,/m/020lf,Mouse,,
cookie,/m/021mn,Cookie,Cookies,
office_building,/m/021sj1,Office building,,
fountain,/m/0220r2,Fountain,,
coin,/m/0242l,Coin,,
cocktail,/m/024g6,Cocktail,,
computer_monitor,/m/02522,Computer monitor,,
box,/m/025dyy,Box,Storage box,
christmas_tree,/m/025nd,Christmas tree,,
cowboy_hat,/m/025rp__,Cowboy hat,,
studio_couch,/m/026qbn5,studio couch,,
drum,/m/026t6,Drum,Drum,
dessert,/m/0270h,Dessert,bread/bun,
drink,/m/0271t,Drink,,
zucchini,/m/027pcv,Zucchini,,
mouth,/m/0283dt1,Human mouth,,
dice,/m/029b3,Dice,,
oven,/m/029bxz,Oven,Oven,oven
dinosaur,/m/029tx,Dinosaur,,
couch,/m/02crq1,Couch,Couch,couch
cricket_ball,/m/02ctlc,Cricket ball,,
winter_melon,/m/02cvgx,Winter melon,,
spatula,/m/02d1br,Spatula,,
whiteboard,/m/02d9qx,Whiteboard,Blackboard/Whiteboard,
door,/m/02dgv,Door,,
hat,/m/02dl1y,Hat,Hat,
showerhead,/m/02f9f_,Shower,,
fedora,/m/02fq_6,Fedora,,
guacamole,/m/02g30s,Guacamole,,
dagger,/m/02gzp,Dagger,,
scarf,/m/02h19r,Scarf,,
dolphin,/m/02hj4,Dolphin,Dolphin,
sombrero,/m/02jfl0,Sombrero,,
tin_can,/m/02jnhm,Tin can,Canned,
mug,/m/02jvh9,Mug,,
tap,/m/02jz0l,Tap,Faucet,
harbor_seal,/m/02l8p9,Harbor seal,,
stretcher,/m/02lbcq,Stretcher,,
roller_skates,/m/02p3w7d,Roller skates,,
coffee_cup,/m/02p5f1q,Coffee cup,,
cutting_board,/m/02pdsw,Cutting board,Cutting/chopping Board,
blender,/m/02pjr4,Blender,Blender,
plumbing_fixture,/m/02pkr5,Plumbing fixture,,
stop_sign,/m/02pv19,Stop sign,Stop Sign,stop sign
office_supplies,/m/02rdsp,Office supplies,,
volleyball,/m/02rgn06,Volleyball,Volleyball,
vase,/m/02s195,Vase,Vase,vase
slow_cooker,/m/02tsc9,Slow cooker,,
coffee,/m/02vqfm,Coffee,,
personal_care,/m/02w3_ws,Personal care,,
paper_towel,/m/02w3r3,Paper towel,paper towel,
sun_hat,/m/02wbtzl,Sun hat,,
skirt,/m/02wv6h6,Skirt,,
gas_stove,/m/02wv84t,Gas stove,Gas stove,
salt_and_pepper_shakers,/m/02x8cch,Salt and pepper shakers,,
electric_fan,/m/02x984l,Mechanical fan,Fan,
,/m/02xwb,Fruit,,
french_fries,/m/02y6n,French fries,French Fries,
nightstand,/m/02z51p,Nightstand,Nightstand,
barrel,/m/02zn6n,Barrel,Barrel/bucket,
kite,/m/02zt3,Kite,Kite,kite
tart,/m/02zvsm,Tart,Egg tart,
bookcase,/m/03__z0,Bookcase,,
treadmill,/m/030610,Treadmill,Treadmill,
fox,/m/0306r,Fox,,
flag,/m/03120,Flag,Flag,
french_horn,/m/0319l,Horn,french horn,
window_blind,/m/031b6r,Window blind,,
foot,/m/031n1,Human foot,,
golf_cart,/m/0323sq,Golf cart,,
jacket,/m/032b3c,Jacket,,
egg,/m/033cnk,Egg,Egg,
streetlight,/m/033rq4,Street light,Street Lights,
guitar,/m/0342h,Guitar,Guitar,
pillow,/m/034c16,Pillow,Pillow,
leg,/m/035r7c,Human leg,,
grape,/m/0388q,grapes,grapes,
ear,/m/039xj_,Human ear,,
power_plugs_and_sockets,/m/03bbps,Power plugs and sockets,,
giraffe,/m/03bk1,Giraffe,Giraffe,giraffe
woman,/m/03bt1vf,Woman,,
door_handle,/m/03c7gz,Door handle,,
rhinoceros,/m/03d443,Rhinoceros,,
bathtub,/m/03dnzn,Bathtub,Bathtub,
goldfish,/m/03fj2,Goldfish,Goldfish,
potted_plant,/m/03fp41,Houseplant,Potted Plant,potted plant
goat,/m/03fwl,Goat,,
baseball_bat,/m/03g8mr,Baseball bat,Baseball Bat,baseball bat
baseball_glove,/m/03grzl,Baseball glove,Baseball Glove,baseball glove
marine_invertebrates,/m/03hl4l9,Marine invertebrates,,
light_switch,/m/03jbxj,Light switch,,
house,/m/03jm5,House,,
horse,/m/03k3r,Horse,Horse,horse
stationary_bicycle,/m/03kt2w,Stationary bicycle,,
ceiling_fan,/m/03ldnb,Ceiling fan,,
sofa_bed,/m/03m3pdh,Sofa bed,,
adhesive_tape,/m/03m3vtv,Adhesive tape,Tape,
harp,/m/03m5k,Harp,,
sandal,/m/03nfch,Sandal,Sandals,
bicycle_helmet,/m/03p3bw,Bicycle helmet,,
saucer,/m/03q5c7,Saucer,,
harpsichord,/m/03q5t,Harpsichord,,
hair,/m/03q69,Human hair,,
hamster,/m/03qrc,Hamster,,
curtain,/m/03rszm,Curtain,,
kettle,/m/03s_tn,Kettle,Kettle,
bed,/m/03ssj5,Bed,Bed,bed
fireplace,/m/03tw93,Fireplace,,
drinking_straw,/m/03v5tg,Drinking straw,,
insect,/m/03vt0,Insect,,
invertebrate,/m/03xxp,Invertebrate,,
food_processor,/m/03y6mg,Food processor,,
motorcycle,/m/04_sv,Motorcycle,Motorcycle,motorcycle
refrigerator,/m/040b_t,Refrigerator,Refrigerator,refrigerator
wood-burning_stove,/m/04169hn,Wood-burning stove,,
punching_bag,/m/0420v5,Punching bag,,
fig,/m/043nyj,Common fig,,
jaguar,/m/0449p,Jaguar,,
golf_ball,/m/044r5d,Golf ball,Golf Ball,
alarm_clock,/m/046dlr,Alarm clock,,
filing_cabinet,/m/047j0r,Filing cabinet,,
artichoke,/m/047v4b,Artichoke,,
table,/m/04bcr3,Table,,
tableware,/m/04brg2,Tableware,,
kangaroo,/m/04c0y,Kangaroo,,
knife,/m/04ctx,Knife,Knife,knife
bottle,/m/04dr76w,Bottle,Bottle,bottle
lynx,/m/04g2r,Lynx,,
lavender,/m/04gth,Lavender,,
lighthouse,/m/04h7h,Lighthouse,,
dumbbell,/m/04h8sr,Dumbbell,Dumbbell,
head,/m/04hgtk,Human head,,
bowl,/m/04kkgm,Bowl,bowl,bowl
porch,/m/04m6gz,Porch,,
lizard,/m/04m9y,Lizard,,
billiard_table,/m/04p0qw,Billiard table,,
mouse,/m/04rmv,Mouse,Mouse,mouse
swim_cap,/m/04szw,Musical instrument,,
frying_pan,/m/04tn4x,Swim cap,,
snowplow,/m/04v6l4,Frying pan,,
bathroom_cabinet,/m/04vv5k,Snowplow,,
bathroom_cabinet,/m/04y4h8h,Bathroom cabinet,,
missile,/m/04ylt,Missile,,
bust,/m/04yqq2,Bust,,
man,/m/04yx4,Man,,
ring_binder,/m/04zwwv,Ring binder,,
table_tennis_racket,/m/05_5p_0,Table tennis racket,table tennis paddle,
plate,/m/050gv4,Plate,Plate,
mobile_phone,/m/050k8,Mobile phone,Cell Phone,cell phone
mushroom,/m/052sf,Mushroom,mushroom,
mirror,/m/054_l,Mirror,Mirror,
crutch,/m/05441v,Crutch,,
pitcher,/m/054fyh,Pitcher,,
personal_flotation_device,/m/054xkw,Lifejacket,,
musical_keyboard,/m/057cc,Musical keyboard,,
scoreboard,/m/057p5t,Scoreboard,,
briefcase,/m/0584n8,Briefcase,suitcase,
kitchen_knife,/m/058qzx,Kitchen knife,,
nail,/m/05bm6,Nail,,
tennis_ball,/m/05ctyq,Tennis ball,tennis ball,
plastic_bag,/m/05gqfk,Plastic bag,,
oboe,/m/05kms,Oboe,,
chest_of_drawers,/m/05kyg_,Chest of drawers,,
ostrich,/m/05n4y,Ostrich,,
piano,/m/05r5c,Piano,Piano,
girl,/m/05r655,Girl,,
potato,/m/05vtc,Potato,Potato,
pasta,/m/05z55,Pasta,Pasta,
penguin,/m/05z6w,Penguin,Penguin,
pumpkin,/m/05zsy,Pumpkin,Pumpkin,
snowboard,/m/06__v,Snowboard,Snowboard,snowboard
digital_clock,/m/06_72j,Digital clock,,
skateboard,/m/06_fw,Skateboard,Skateboard,skateboard
pear,/m/061_f,Pear,Pear,
infant_bed,/m/061hd_,Infant bed,,
polar_bear,/m/0633h,Polar bear,polar bear,
mixer,/m/063rgb,Mixer,,
cupboard,/m/0642b4,Cupboard,,
pizza,/m/0663v,Pizza,Pizza,pizza
pig,/m/068zj,Pig,Pig,
reptile,/m/06bt6,Reptile,,
rifle,/m/06c54,Rifle,,
raven,/m/06j2d,Raven,,
high_heels,/m/06k2mb,High heels,High Heels,
rose,/m/06m11,Rose,,
rabbit,/m/06mf6,Rabbit,Rabbit,
sculpture,/m/06msq,Sculpture,,
saxophone,/m/06ncr,Saxophone,Saxophone,
shotgun,/m/06nrc,Shotgun,,
seafood,/m/06nwz,Seafood,,
submarine_sandwich,/m/06pcq,Submarine sandwich,,
sword,/m/06y5r,Sword,,
picture_frame,/m/06z37_,Picture frame,Picture/Frame,
sushi,/m/07030,Sushi,Sushi,
loveseat,/m/0703r8,Loveseat,,
ski,/m/071p9,Ski,skis,skis
squirrel,/m/071qp,Squirrel,,
tripod,/m/073bxn,Tripod,Tripod,
segway,/m/076bq,Segway,,
training_bench,/m/076lb9,Bench,,
snake,/m/078jl,Snake,,
coffee_table,/m/078n6m,Coffee table,Coffee Table,
skyscraper,/m/079cl,Skyscraper,,
sheep,/m/07bgp,Sheep,Sheep,sheep
television_set,/m/07c52,Television,,tv
trombone,/m/07c6l,Trombone,Trombone,
tea,/m/07clx,Tea,,
tank,/m/07cmd,Tank,,
taco,/m/07crc,Taco,,
telephone,/m/07cx4,Telephone,Telephone,
torch,/m/07dd4,Torch,,
tiger,/m/07dm6,Tiger,,
strawberry,/m/07fbm7,Strawberry,Strawberry,
trumpet,/m/07gql,Trumpet,Trumpet,
tree,/m/07j7r,Tree,,
tomato,/m/07j87,Tomato,Tomato,
train,/m/07jdr,Train,Train,train
picnic_basket,/m/07kng9,Picnic basket,,
trousers,/m/07mhn,Trousers,,
football_helmet,/m/07qxg_,Football helmet,,
truck,/m/07r04,Truck,Truck,truck
measuring_cup,/m/07v9_z,Measuring cup,measuring cup,
coffeemaker,/m/07xyvk,Coffeemaker,Coffee Machine,
violin,/m/07y_7,Violin,Violin,
vehicle,/m/07yv9,Vehicle,,
handbag,/m/080hkjn,Handbag,handbag,handbag
wine,/m/081qc,Wine,,
weapon,/m/083kb,Weapon,,
wheel,/m/083wq,Wheel,,
wok,/m/084rd,Wok,,
whale,/m/084zz,Whale,,
zebra,/m/0898b,Zebra,Zebra,zebra
jug,/m/08hvt4,Jug,,
monkey,/m/08pbxl,Monkey,Monkey,
lion,/m/096mb,Lion,Lion,
bread,/m/09728,Bread,Bread,
platter,/m/099ssp,Platter,,
chicken,/m/09b5t,Chicken,Chicken,
eagle,/m/09csl,Eagle,eagle,
helicopter,/m/09ct_,Helicopter,Helicopter,
owl,/m/09d5_,Owl,,
duck,/m/09ddx,Duck,Duck,
turtle,/m/09dzg,Turtle,tortoise/turtle,
crocodile,/m/09f_2,Crocodile,,
toilet,/m/09g1w,Toilet,Toilet,toilet
toilet_paper,/m/09gtd,Toilet paper,,
footwear,/m/09j5n,Footwear,,
lemon,/m/09k_b,Lemon,Lemon,
spider,/m/09kmb,Spider,,
deer,/m/09kx5,Deer,Deer,
frog,/m/09ld4,Frog,,
banana,/m/09qck,Banana,Banana,banana
rocket,/m/09rvcxw,Rocket,,
wine_glass,/m/09tvcd,Wine glass,Wine Glass,wine glass
swimming_pool,/m/0b_rs,Swimming pool,,
countertop,/m/0b3fp9,Countertop,,
tablet_computer,/m/0bh9flk,Tablet computer,Tablet,
waste_container,/m/0bjyj5,Waste container,trash bin/can,
book,/m/0bt_c3,Book,Book,book
dog,/m/0bt9lr,Dog,Dog,dog
elephant,/m/0bwd_0j,Elephant,Elephant,elephant
shark,/m/0by6g,Shark,shark,
furniture,/m/0c_jw,Furniture,,
candle,/m/0c06p,Candle,Candle,
leopard,/m/0c29q,Leopard,,
porcupine,/m/0c568,Porcupine,,
flower,/m/0c9ph5,Flower,Flower,
canary,/m/0ccs93,Canary,,
cheetah,/m/0cd4d,Cheetah,,
palm_tree,/m/0cdl1,Palm tree,,
hamburger,/m/0cdn1,Hamburger,Hamburger,
maple,/m/0cffdh,Maple,,
building,/m/0cgh4,Building,,
fish,/m/0ch_cf,Fish,,
lobster,/m/0cjq5,Lobster,Lobster,
garden_asparagus,/m/0cjs7,Asparagus,Asparagus,
airplane,/m/0cmf2,Airplane,Airplane,airplane
spoon,/m/0cmx8,Spoon,Spoon,spoon
otter,/m/0cn6p,Otter,,
bull,/m/0cnyhnx,Bull,,
convenience_store,/m/0crjs,Convenience store,,
bench,/m/0cvnqh,Bench,Bench,bench
ice_cream,/m/0cxn2,Ice cream,Ice cream,
caterpillar,/m/0cydv,Caterpillar,,
butterfly,/m/0cyf8,Butterfly,butterfly,
parachute,/m/0cyfs,Parachute,,
orange,/m/0cyhj_,Orange,orange,orange
antelope,/m/0czz2,Antelope,Antelope,
moths_and_butterflies,/m/0d_2m,Moths and butterflies,,
beaker,/m/0d20w4,Beaker,,
window,/m/0d4v4,Window,,
castle,/m/0d5gx,Castle,,
jellyfish,/m/0d8zb,Jellyfish,Jellyfish,
goose,/m/0dbvp,Goose,Goose,
mule,/m/0dbzx,Mule,,
swan,/m/0dftk,Swan,Swan,
peach,/m/0dj6p,Peach,Peach,
coconut,/m/0djtd,Coconut,Coconut,
seat_belt,/m/0dkzw,Seat belt,,
raccoon,/m/0dq75,Raccoon,,
fork,/m/0dt3t,Fork,Fork,fork
lamp,/m/0dtln,Lamp,Lamp,
camera,/m/0dv5r,Camera,Camera,
squash,/m/0dv77,Squash,,
racket,/m/0dv9c,Racket,,
face,/m/0dzct,Human face,,
arm,/m/0dzf4,Human arm,,
vegetable,/m/0f4s2w,Vegetable,Green Vegetables,
falcon,/m/0f6wt,Falcon,,
snail,/m/0f9_l,Snail,,
shellfish,/m/0fbdv,Shellfish,,
cabbage,/m/0fbw6,Cabbage,Cabbage,
carrot,/m/0fj52s,Carrot,Carrot,carrot
mango,/m/0fldg,Mango,Mango,
jeans,/m/0fly7,Jeans,,
flowerpot,/m/0fm3zh,Flowerpot,,
pineapple,/m/0fp6w,Pineapple,pine apple,
drawer,/m/0fqfqc,Drawer,,
stool,/m/0fqt361,Stool,Stool,
envelope,/m/0frqm,Envelope,,
cake,/m/0fszt,Cake,Cake,cake
dragonfly,/m/0ft9s,Dragonfly,,
sunflower,/m/0ftb8,Sunflower,,
microwave,/m/0fx9l,Microwave oven,Microwave,microwave
honeycomb,/m/0fz0h,Honeycomb,,
marine_mammal,/m/0gd2v,Marine mammal,,
sea_lion,/m/0gd36,Sea lion,,
ladybug,/m/0gj37,Ladybug,,
shelf,/m/0gjbg72,Shelf,,
watch,/m/0gjkl,Watch,Watch,
candy,/m/0gm28,Candy,Candy,
salad,/m/0grw1,Salad,,
parrot,/m/0gv1x,Parrot,Parrot,
handgun,/m/0gxl3,Handgun,Gun,
sparrow,/m/0h23m,Sparrow,,
van,/m/0h2r6,Van,Van,
light_bulb,/m/0h8l4fh,Light bulb,,
corded_phone,/m/0h8lkj8,Corded phone,,
sports_uniform,/m/0h8mhzd,Sports uniform,,
tennis_racket,/m/0h8my_4,Tennis racket,Tennis Racket,tennis racket
wall_clock,/m/0h8mzrc,Wall clock,,
serving_tray,/m/0h8n27j,Serving tray,,
kitchen_and_dining_room_table,/m/0h8n5zk,Kitchen & dining room table,,
dog_bed,/m/0h8n6f9,Dog bed,,
cake_stand,/m/0h8n6ft,Cake stand,,
pressure_cooker,/m/0h8ntjv,Pressure cooker,,
kitchen_appliance,/m/0h99cwc,Kitchen appliance,,
tire,/m/0h9mv,Tire,,
ruler,/m/0hdln,Ruler,tape measure/ruler,
luggage_and_bags,/m/0hf58v5,Luggage and bags,,
microphone,/m/0hg7b,Microphone,Microphone,
broccoli,/m/0hkxq,Broccoli,Broccoli,broccoli
umbrella,/m/0hnnb,Umbrella,Umbrella,umbrella
grapefruit,/m/0hqkz,Grapefruit,,
animal,/m/0jbk,Animal,,
bell_pepper,/m/0jg57,Bell pepper,,
turkey,/m/0jly1,Turkey,,
lily,/m/0jqgx,Lily,,
pomegranate,/m/0jwn_,Pomegranate,Pomegranate,
donut,/m/0jy4k,Doughnut,Donut,donut
eyeglasses,/m/0jyfg,Glasses,Glasses,
nose,/m/0k0pj,Human nose,,
pen,/m/0k1tl,Pen,Pen/Pencil,
car,/m/0k4j,Car,Car,car
aircraft,/m/0k5j,Aircraft,,
hand,/m/0k65p,Human hand,,
teddy_bear,/m/0kmg4,Teddy bear,teddy bear,teddy bear
watermelon,/m/0kpqd,Watermelon,Watermelon,
flute,/m/0l14j_,Flute,Flute,
sandwich,/m/0l515,Sandwich,Sandwich,sandwich
shrimp,/m/0ll1f78,Shrimp,Shrimp,
sewing_machine,/m/0llzx,Sewing machine,,
binoculars,/m/0lt4_,Binoculars,Binoculars,
accordion,/m/0mkg,Accordion,,
willow,/m/0mw_6,Willow,,
crab,/m/0n28_,Crab,Crab,
crown,/m/0nl46,Crown,,
seahorse,/m/0nybt,Seahorse,,
alpaca,/m/0pcr,Alpaca,,
taxi,/m/0pg52,Taxi,,
canoe,/m/0ph39,Canoe,,
wheelchair,/m/0qmmr,Wheelchair,Wheelchair,
rugby_ball,/m/0wdt60w,Rugby ball,,
helmet,/m/0zvk5,Helmet,Helmet,
air_conditioner,,,Air Conditioner,
avocado,,,Avocado,
baozi,,,Baozi,
bar_soap,,,bar soap,
barbell,,,Barbell,
baseball,,,Baseball,
basket,,,basket,
basketball,,,Basketball,
billiard_ball,,,billiards,
Wild Bird,,,Wild Bird,
board_eraser,,,Board Eraser,
bow_tie,,,Bow Tie,
bracelet,,,Bracelet,
broom,,,Broom,
brush,,,Brush,
calculator,,,Calculator,
cantaloupe,,,Hamimelon,
chainsaw,,,Chainsaw,
cheese,,,Cheese,
cherry,,,Cherry,
cleaning_products,,,Cleaning Products,
comb,,,Comb,
compact_disc,,,CD,
construction_vehicle,,,Machinery Vehicle,
corn,,,Corn,
cosmetic,,,facial cleanser,
cow,,,Cow,cow
crane,,,Crane,
crosswalk_sign,,,Crosswalk Sign,
cue,,,Cue,
cup,,,Cup,cup
curling_stone,,,hockey,
cymbal,,,Cymbal,
desktop_computer,,,Computer Box,
dining_table,,,dining table,dining table
donkey,,,Donkey,
durian,,,Durian,
earbud,,,earphone,
eggplant,,,Eggplant,
electric_drill,,,Electric Drill,
eraser,,,Eraser,
extension_cord,,,extension cord,
fire_extinguisher,,,Fire Extinguisher,
fire_truck,,,Fire Truck,
other_fish,,,fish,
fishing_rod,,,Fishing Rod,
flask,,,flashlight,
folder,,,Folder,
frisbee,,,Frisbee,frisbee
game_board,,,Game board,
garlic,,,Garlic,
globe,,,Globe,
golf_club,,,Golf Club,
green_beans,,,Green beans,
green_onion,,,Green Onion,
hair_dryer,,,hair drier,hair drier
hammer,,,Hammer,
handcart,,,Trolley,
hanger,,,Hanger,
horse_carriage,,,Carriage,
hot_air_balloon,,,hotair balloon,
hoverboard,,,Hoverboard,
hurdle,,,Hurdle,
key,,,Key,
kiwi_fruit,,,Kiwi fruit,
leather_shoes,,,Leather Shoes,
lettuce,,,Lettuce,
lifesaver,,,life saver,
lighter,,,Lighter,
loudspeaker,,,Speaker,
luggage_and_bags,,,Luggage,
marker,,,Marker,
mask,,,facial mask,
meatball,,,meat balls,
medal,,,Medal,
mop,,,Mop,
noodle,,,noodles,
nut,,,Nuts,
okra,,,Okra,
onion,,,Onion,
paintbrush,,,Paint Brush,
papaya,,,Papaya,
paper,,,Notepaper,
parking_meter,,,Parking meter,parking meter
party_balloon,,,balloon,
pencil_case,,,Pencil Case,
pepper,,,Pepper,
personal_care,,,toiletries,
pickup_truck,,,Pickup Truck,
pie,,,Pie,
pigeon,,,Pigeon,
playing_card,,,Poker Card,
pliers,,,Pliers,
plum,,,Plum,
pot,,,pot/pan,
potato_chip,,,Chips,
power_brick,,,Converter,
power_outlet,,,Power outlet,
projector,,,Projector,
race_car,,,race car,
radiator,,,Radiator,
red_cabbage,,,Red Cabbage,
remote,,,Remote,remote
rice,,,Rice,
rice_cooker,,,Rice Cooker,
rickshaw,,,Rickshaw,
ring,,,Ring,
roll_of_tobacco,,,cigar,
router,,,Router/modem,
rug,,,Carpet,
sailboat,,,Sailboat,
sausage,,,Sausage,
scale,,,Scale,
scallop,,,Scallop,
seal,,,Seal,
ship,,,Ship,
shovel,,,Shovel,
ski_boot,,,Skating and Skiing shoes,
slide,,,Slide,
slippers,,,Slippers,
sneakers,,,Sneakers,
soccer_ball,,,Soccer,
sports_car,,,Sports Car,
spring_rolls,,,Spring Rolls,
stapler,,,Stapler,
steak,,,Steak,
stroller,,,Stroller,
surveillance_camera,,,Surveillance Camera,
suv,,,SUV,
swing,,,Swing,
target,,,Target,
tissue,,,Tissue,
tongs,,,Tong,
toothbrush,,,Toothbrush,toothbrush
Stuffed Toy,,,toy,
traffic_cone,,,Traffic cone,
tricycle,,,Tricycle,
trophy,,,Trophy,
tuba,,,Tuba,
urinal,,,Urinal,
video_display,,,tv,
yak,,,Yak,
clutch,,,clutch,
dates,,,dates,
horn,,,horn,
iron,,,iron,
liquid soap,,,liquid soap,
llama,,,llama,
mangosteen,,,mangosteen,
microscope,,,microscope,
pitaya,,,pitaya,
pomelo,,,pomelo,
radio,,,radio,
saw,,,saw,
shampoo/shower gel,,,shampoo/shower gel,
tangerine,,,tangerine,
toothpaste,,,toothpaste,
vent,,,vent,
electronic stove and gas stove,,,electronic stove and gas stove,